2026/01/31 06:16:55 [notice] 27793#27793: using inherited sockets from "6;7;"
2026/01/31 06:20:39 [notice] 42199#42199: signal process started
2026/01/31 06:20:41 [notice] 42360#42360: signal process started
2026/01/31 07:27:51 [error] 42364#42364: *232 open() "/home/user-data/www/default/owa/auth/logon.aspx" failed (2: No such file or directory), client: 20.65.193.168, server: box.k3frame.com, request: "GET /owa/auth/logon.aspx HTTP/1.1", host: "52.202.225.102"
2026/01/31 07:31:54 [error] 42364#42364: *257 open() "/home/user-data/www/default/wiki" failed (2: No such file or directory), client: 162.142.125.196, server: box.k3frame.com, request: "GET /wiki HTTP/1.1", host: "52.202.225.102"
2026/01/31 07:35:05 [crit] 42364#42364: *286 SSL_do_handshake() failed (SSL: error:0A00006C:SSL routines::bad key share) while SSL handshaking, client: 165.154.41.47, server: 0.0.0.0:443
2026/01/31 07:35:25 [error] 42364#42364: *293 open() "/home/user-data/www/default/sitemap.xml" failed (2: No such file or directory), client: 101.36.127.24, server: box.k3frame.com, request: "GET /sitemap.xml HTTP/1.1", host: "ns2.box.k3frame.com"
2026/01/31 07:35:26 [error] 42364#42364: *295 open() "/home/user-data/www/default/sitemap.xml" failed (2: No such file or directory), client: 101.36.127.24, server: box.k3frame.com, request: "GET /sitemap.xml HTTP/1.1", host: "ns1.box.k3frame.com"
2026/01/31 07:35:31 [error] 42364#42364: *302 open() "/home/user-data/www/default/sitemap.xml" failed (2: No such file or directory), client: 118.193.45.235, server: box.k3frame.com, request: "GET /sitemap.xml HTTP/1.1", host: "box.k3frame.com"
2026/01/31 07:35:31 [error] 42364#42364: *303 open() "/home/user-data/www/default/sitemap.xml" failed (2: No such file or directory), client: 118.193.45.235, server: box.k3frame.com, request: "GET /sitemap.xml HTTP/1.1", host: "box.k3frame.com"
2026/01/31 07:43:57 [notice] 59602#59602: signal process started
2026/01/31 07:45:00 [error] 59603#59603: *425 "/home/user-data/www/default/https:/mailinabox.email/index.html" is not found (2: No such file or directory), client: 103.196.9.190, server: mta-sts.k3frame.com, request: "GET /https%3A/mailinabox.email/ HTTP/1.1", host: "mta-sts.k3frame.com"
2026/01/31 07:45:05 [error] 59603#59603: *467 open() "/home/user-data/www/default/server" failed (2: No such file or directory), client: 165.22.34.189, server: autoconfig.box.k3frame.com, request: "GET /server HTTP/1.1", host: "autoconfig.box.k3frame.com"
2026/01/31 07:45:05 [error] 59603#59603: *468 open() "/home/user-data/www/default/server" failed (2: No such file or directory), client: 206.81.12.187, server: autoconfig.k3frame.com, request: "GET /server HTTP/1.1", host: "autoconfig.k3frame.com"
2026/01/31 07:45:05 [error] 59603#59603: *471 open() "/home/user-data/www/default/server" failed (2: No such file or directory), client: 143.110.217.244, server: mta-sts.box.k3frame.com, request: "GET /server HTTP/1.1", host: "mta-sts.box.k3frame.com"
2026/01/31 07:45:05 [error] 59603#59603: *472 open() "/home/user-data/www/default/server" failed (2: No such file or directory), client: 46.101.111.185, server: autodiscover.box.k3frame.com, request: "GET /server HTTP/1.1", host: "autodiscover.box.k3frame.com"
2026/01/31 07:45:06 [error] 59603#59603: *479 open() "/home/user-data/www/default/server-status" failed (2: No such file or directory), client: 165.22.34.189, server: autoconfig.box.k3frame.com, request: "GET /server-status HTTP/1.1", host: "autoconfig.box.k3frame.com"
2026/01/31 07:45:06 [error] 59603#59603: *480 open() "/home/user-data/www/default/server-status" failed (2: No such file or directory), client: 206.81.12.187, server: autoconfig.k3frame.com, request: "GET /server-status HTTP/1.1", host: "autoconfig.k3frame.com"
2026/01/31 07:45:06 [error] 59603#59603: *484 open() "/home/user-data/www/default/server-status" failed (2: No such file or directory), client: 143.110.217.244, server: mta-sts.box.k3frame.com, request: "GET /server-status HTTP/1.1", host: "mta-sts.box.k3frame.com"
2026/01/31 07:45:06 [error] 59603#59603: *485 open() "/home/user-data/www/default/server-status" failed (2: No such file or directory), client: 46.101.111.185, server: autodiscover.box.k3frame.com, request: "GET /server-status HTTP/1.1", host: "autodiscover.box.k3frame.com"
2026/01/31 07:45:06 [error] 59603#59603: *487 open() "/home/user-data/www/default/server" failed (2: No such file or directory), client: 157.245.105.107, server: box.k3frame.com, request: "GET /server HTTP/1.1", host: "box.k3frame.com"
2026/01/31 07:45:07 [error] 59603#59603: *489 open() "/home/user-data/www/default/server" failed (2: No such file or directory), client: 159.89.174.87, server: mta-sts.k3frame.com, request: "GET /server HTTP/1.1", host: "mta-sts.k3frame.com"
